box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6540_output,SOEST,MARSHALLING YARD,5134N,806E,48276 630,09-10,6.0,0.0,,R,,5.0,,,,,10.0,3.0,3.0,,,,,,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6540_output,SOEST,MARSHALLING YARD,5134N,806E,48276 630,09-10,6.0,0.0,,R,,5.0,,,,,10.0,2.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6540_output,SOEST,MARSHALLING YARD,5134N,806E,48276 630,11-13,6.0,0.0,,R,,5.0,,,,,10.0,3.0,4.0,,,,,,,,,4.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6540_output,SOEST,MARSHALLING YARD,5134N,806E,48276 630,14-15,6.0,0.0,,R,,5.0,,,,,1.0,3.0,0.3,,,,,,,,,0.3,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6540_output,SOEST,MARSHALLING YARD,5134N,806E,48276 630,14-15,6.0,0.0,,R,,5.0,,,,,15.0,2.0,2.0,,,180.0,2.0,0.36,,,,2.36,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6540_output,SOEST,MARSHALLING YARD,5134N,806E,48276 630,18-19,6.0,0.0,,R,,5.0,,,,,20.0,3.0,5.0,,,,,,,,,5.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6540_output,SOEST,MARSHALLING YARD,5134N,806E,48276 630,18-19,6.0,0.0,,R,,5.0,,,,,30.0,2.0,4.0,,,,,,,,,4.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6540_output,SOEST,MARSHALLING YARD,5134N,806E,48276 630,20,6.0,0.0,,R,,5.0,,,,,25.0,3.0,9.0,,,,,,,,,9.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6540_output,SOEST,MARSHALLING YARD,5134N,806E,48276 630,26,6.0,0.0,,R,,1.0,,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6540_output,SOEST,MARSHALLING YARD,5134N,806E,48276 630,26,6.0,0.0,,R,,2.0,,,,,4.0,23.0,44.0,,,80.0,2.0,0.16,,,,44.16,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6540_output,SOEST,MARSHALLING YARD,5134N,806E,48276 630,26-27,6.0,0.0,,R,,2.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6540_output,SOEST,MARSHALLING YARD,5134N,806E,48276 630,26-27,6.0,0.0,,R,,2.0,,,,,6.0,2.0,0.9,,,60.0,2.0,0.12,,,,1.02,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6540_output,SOEST,MARSHALLING YARD,5134N,806E,48276 630,27,6.0,0.0,,R,,3.0,,,,,10.0,2.0,1.25,,,,,,,,,1.25,False
